epoch, x, y, z, vx, vy, vz
1481857371.228471, -157716932.7021176, -1493010178.7761395, 28171488.009164914, 7.103714591762022, -0.6134974839465378, -0.5750265024877249
1481943886.6944985, -157102328.41537294, -1493063036.771934, 28121735.192916837, 7.104248412348533, -0.6084341744050099, -0.5751219556104356
1482030402.1605263, -156487678.03446355, -1493115456.6997795, 28071974.125690438, 7.104780162260977, -0.6033705558796403, -0.5752172424484546
1482116917.626554, -155872981.73853767, -1493167438.532927, 28022204.82187196, 7.105309841432801, -0.5983066279646976, -0.5753123630004842
1482203433.093582, -155258239.7067492, -1493218982.2445922, 27972427.295847785, 7.1058374497957395, -0.593242390254254, -0.5754073172650886
1482289948.5596101, -154643452.1182583, -1493270087.8079548, 27922641.562004406, 7.10636298727982, -0.5881778423421832, -0.5755021052406947
1482376464.0256386, -154028619.152231, -1493320755.19616, 27872847.63472847, 7.106886453813365, -0.5831129838221654, -0.5755967269255912
1482462979.4916668, -153413740.98783976, -1493370984.3823183, 27823045.528406776, 7.1074078493229855, -0.5780478142876833, -0.5756911823179292
1482549494.9586954, -152798817.8042634, -1493420775.3395045, 27773235.257426288, 7.107927173733583, -0.5729823333320261, -0.5757854714157219
1482636010.424724, -152183849.7806874, -1493470128.040758, 27723416.836174145, 7.108444426968351, -0.5679165405482877, -0.5758795942168448
1482722525.8907526, -151568837.09630376, -1493519042.4590828, 27673590.27903767, 7.108959608948773, -0.5628504355293672, -0.5759735507190351
1482809041.356781, -150953779.9303116, -1493567518.5674486, 27623755.600404404, 7.109472719594624, -0.5577840178679715, -0.5760673409198925
1482895556.82281, -150338678.4619168, -1493615556.3387897, 27573912.814662095, 7.109983758823968, -0.5527172871566136, -0.5761609648168785
1482982072.2898388, -149723532.87033263, -1493663155.7460046, 27524061.936198708, 7.110492726553155, -0.5476502429876137, -0.5762544224073165
1483068587.7558677, -149108343.3347795, -1493710316.7619565, 27474202.97940245, 7.110999622696833, -0.5425828849530991, -0.5763477136883921
1483155103.221897, -148493110.03448546, -1493757039.3594735, 27424335.958661806, 7.111504447167931, -0.5375152126450065, -0.576440838657153
1483241618.6879256, -147877833.14868593, -1493803323.5113485, 27374460.888365462, 7.112007199877668, -0.5324472256550807, -0.5765337973105081
1483328134.1549547, -147262512.85662428, -1493849169.1903389, 27324577.78290242, 7.112507880735552, -0.5273789235748754, -0.5766265896452291
1483414649.6209838, -146647149.3375517, -1493894576.369167, 27274686.656661965, 7.113006489649381, -0.5223103059957547, -0.5767192156579486
1483501165.0870125, -146031742.7707275, -1493939545.02052, 27224787.524033684, 7.113503026525238, -0.5172413725088917, -0.5768116753451616
1483587680.5530417, -145416293.33541903, -1493984075.117048, 27174880.39940744, 7.113997491267493, -0.5121721227052697, -0.5769039687032252
1483674196.0200708, -144800801.21090215, -1494028166.6313686, 27124965.297173455, 7.114489883778803, -0.5071025561756858, -0.5769960957283574
1483760711.4860997, -144185266.57646123, -1494071819.5360615, 27075042.231722258, 7.1149802039601155, -0.5020326725107452, -0.5770880564166383
1483847226.952129, -143569689.61138904, -1494115033.8036716, 27025111.21744474, 7.1154684517106555, -0.4969624713008658, -0.5771798507640098
1483933742.4181576, -142954070.4949875, -1494157809.4067097, 26975172.268732157, 7.115954626927944, -0.49189195213627945, -0.5772714787662753
1484020257.8851864, -142338409.40656713, -1494200146.317649, 26925225.39997609, 7.116438729507777, -0.48682111460702854, -0.5773629404191
1484106773.3512154, -141722706.52544782, -1494242044.5089288, 26875270.62556855, 7.116920759344246, -0.48174995830297135, -0.57745423571801
1484193288.8172438, -141106962.0309585, -1494283503.9529524, 26825307.959901914, 7.117400716329717, -0.476678482813777, -0.577545364658394
1484279804.2832725, -140491176.1024376, -1494324524.6220875, 26775337.41736899, 7.1178786003548495, -0.4716066877289312, -0.5776363272355014
1484366319.7503011, -139875348.91923296, -1494365106.488666, 26725359.012362953, 7.118354411308581, -0.4665345726377333, -0.5777271234444432
1484452835.2163298, -139259480.66070232, -1494405249.5249856, 26675372.759277474, 7.1188281490781335, -0.46146213712929773, -0.5778177532801921
1484539350.6823583, -138643571.506213, -1494444953.7033064, 26625378.6725066, 7.119299813549015, -0.4563893807925548, -0.5779082167375823
1484625866.1483862, -138027621.63514248, -1494484218.9958544, 26575376.76644488, 7.11976940460501, -0.4513163032162496, -0.5779985138113085
1484712381.6154144, -137411631.22687826, -1494523045.3748198, 26525367.055487297, 7.120236922128192, -0.44624290398894684, -0.5780886444959277
1484798897.0814424, -136795600.46081817, -1494561432.8123572, 26475349.554029327, 7.120702365998914, -0.4411691826990251, -0.5781786087858577
1484885412.5474703, -136179529.51637048, -1494599381.2805848, 26425324.276466943, 7.121165736095811, -0.4360951389346816, -0.5782684066753777
1484971928.013498, -135563418.57295397, -1494636890.7515862, 26375291.237196587, 7.121627032295798, -0.4310207722839318, -0.5783580381586279
1485058443.4805257, -134947267.80999827, -1494673961.1974087, 26325250.45061524, 7.122086254474071, -0.42594608233460884, -0.57844750322961
1485144958.9465532, -134331077.40694374, -1494710592.590064, 26275201.9311204, 7.122543402504106, -0.4208710686743647, -0.5785368018821865
1485231474.4125805, -133714847.5432418, -1494746784.9015286, 26225145.693110116, 7.122998476257661, -0.41579573089067096, -0.5786259341100815
1485317989.8786073, -133098578.39835505, -1494782538.1037428, 26175081.750982963, 7.12345147560477, -0.41072006857081933, -0.5787148999068793
1485404505.344634, -132482270.15175748, -1494817852.1686113, 26125010.11913808, 7.123902400413752, -0.40564408130192087, -0.5788036992660262
1485491020.8116608, -131865922.98293439, -1494852727.068003, 26074930.811975203, 7.124351250551199, -0.40056776867090765, -0.5788923321808284
1485577536.2776873, -131249537.07138288, -1494887162.7737515, 26024843.84389462, 7.124798025881983, -0.39549113026453336, -0.5789807986444544
1485664051.7437136, -130633112.59661163, -1494921159.257654, 25974749.229297247, 7.1252427262692555, -0.39041416566937187, -0.5790690986499323
